filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_outdoor_1.mat,48,0.1,2,1,0.464024625,0.205848403,0.070411697,0.0625,0,0
../data/data_mobile_outdoor_1.mat,48,0.1,3,0.142978953,0.95690673,0.175914994,0.002951594,0.6875,0.020833333,0
../data/data_mobile_outdoor_1.mat,48,0.1,4,0.098813048,0.973745174,0.236293436,0.002316602,0.875,0,0
../data/data_mobile_outdoor_1.mat,48,0.1,5,0.078502251,1,0.335960591,0,1,0.041666667,0
../data/data_mobile_outdoor_1.mat,48,0.1,6,0.065874785,0.998802395,0.331736527,0,0.979166667,0.0625,0
../data/data_mobile_outdoor_1.mat,48,0.1,7,0.065000383,1,0.265667575,0,1,0.041666667,0
../data/data_mobile_outdoor_1.mat,48,0.1,8,0.061642504,0.990697674,0.272868217,0,0.979166667,0.041666667,0
../data/data_mobile_outdoor_1.mat,48,0.1,9,0.083945509,1,0.21340388,0,1,0.020833333,0
../data/data_mobile_outdoor_1.mat,48,0.1,10,0.085276206,1,0.304255319,0,1,0.041666667,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_outdoor_1.mat,10,0.1,2,1,0.517690875,0.167597765,0.074487896,0.1,0,0
../data/data_mobile_outdoor_1.mat,10,0.1,3,0.081377068,0.898591549,0.138028169,0.008450704,0.7,0,0
../data/data_mobile_outdoor_1.mat,10,0.1,4,0.078438283,1,0.358778626,0,1,0,0
../data/data_mobile_outdoor_1.mat,10,0.1,5,0.047460061,0.985781991,0.303317536,0,0.9,0,0
../data/data_mobile_outdoor_1.mat,10,0.1,6,0.045301267,1,0.274285714,0,1,0,0
../data/data_mobile_outdoor_1.mat,10,0.1,7,0.058151002,1,0.335616438,0,1,0,0
../data/data_mobile_outdoor_1.mat,10,0.1,8,0.054243831,1,0.425373134,0,1,0.1,0
../data/data_mobile_outdoor_1.mat,10,0.1,9,0.049420159,1,0.193548387,0,1,0,0
../data/data_mobile_outdoor_1.mat,10,0.1,10,0.060709747,1,0.21,0,1,0,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_outdoor_2.mat,7,0.1,2,1,0.561357702,0.234986945,0.070496084,0,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,3,0.109653961,0.640495868,0.276859504,0,0.571428571,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,4,0.099698711,1,0.211956522,0,1,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,5,0.059832063,1,0.255172414,0.006896552,1,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,6,0.057005974,1,0.11023622,0,1,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,7,0.051638951,1,0.226415094,0,1,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,8,0.056894685,1,0.173913043,0,1,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,9,0.050661426,1,0.207792208,0,1,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,10,0.05356577,1,0.166666667,0,1,0,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_outdoor_2.mat,81,0.1,2,1,0.511242335,0.240744947,0.061548944,0.074074074,0,0
